,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
432,01982,7995,40,105865,44500,188,2.351469668542839
433,01983,6211,45.4,111696,56488,374,6.021574625664145
434,01984,4964,24.9,127606,46255,134,2.6994359387590654
435,01985,4305,43,111652,53144,259,6.016260162601626
436,02019,16438,40.8,80179,36165,379,2.3056332887212556
437,02021,21781,42.8,89900,46086,1265,5.807814149947202
438,02025,7935,42,117829,61267,350,4.410838059231254
439,02026,24906,43,84704,43063,1029,4.1315345699831365
440,02030,5677,44.3,187829,89476,18,0.31706887440549586
441,02032,3884,42.9,77955,39531,128,3.29557157569516
442,02035,16990,41.2,91601,42801,683,4.0200117716303705
443,02038,32064,37.8,99194,41946,1330,4.147954091816367
444,02043,22330,43.8,106854,60770,586,2.624272279444693
445,02045,10319,49,75551,41064,608,5.89204380269406
446,02047,111,89.3,,14649,0,0.0
447,02048,23293,37.4,93539,42207,936,4.018374618984244
448,02050,25647,43.5,91764,43165,1072,4.1798261005185795
449,02052,12136,43.4,133931,62076,516,4.251812788398154
450,02053,12866,42.1,106132,43335,395,3.0701072594434944
451,02054,7950,41.5,91341,39651,490,6.163522012578617
452,02056,11274,42.5,134104,43630,505,4.479332978534681
453,02061,10560,44.3,113944,48205,273,2.585227272727273
454,02062,28698,41.2,75957,37213,2226,7.7566380932469166
455,02066,17730,45.4,100833,49657,485,2.7354765933446137
456,02067,17591,43.2,125313,53259,575,3.268716957535103
457,02071,1770,40.3,97813,25115,0,0.0
458,02072,27522,43.1,74262,33094,2058,7.477654240244168
459,02081,19006,42.9,93416,44982,712,3.7461854151320635
460,02090,14714,45,128984,62949,325,2.2087807530243304
461,02093,11058,44.2,100574,45019,575,5.199855308374028
462,02108,4062,34.6,96921,83723,314,7.730182176267848
463,02109,4241,33.9,119196,90256,411,9.691110587125678
464,02110,1752,50.9,111250,136352,268,15.296803652968036
465,02111,7771,34.3,43551,51511,2092,26.920602239094066
466,02113,6843,28.6,66636,54464,1010,14.759608358906911
467,02114,11994,31.2,80500,67701,1681,14.015341003835251
468,02115,28928,21.8,27134,22112,7107,24.567892699115045
469,02116,21793,33,87653,80314,2763,12.678382967007755
470,02118,27873,33.6,54152,45343,6989,25.07444480321458
471,02119,24767,33.3,27180,19183,8153,32.918803246255095
472,02120,14221,23.4,35077,17704,5346,37.592293087687224
473,02121,27093,30.2,28238,17224,8714,32.16328941054885
474,02122,24546,32.9,50192,23904,5207,21.213232298541513
475,02124,51382,34.6,48841,22891,10442,20.322291853178157
476,02125,34172,30.2,45130,23350,9664,28.28046353739904
477,02126,27984,37.7,45238,20804,5290,18.903659233847915
478,02127,33825,30.8,68724,44737,6071,17.948263118994827
479,02128,43575,34,48704,23468,7316,16.789443488238668
480,02129,17454,34.6,86346,57847,3287,18.83235934456285
481,02130,37541,33.6,75730,44110,6435,17.14125889027996
482,02131,30960,38,66735,30984,4131,13.343023255813954
483,02132,27628,42.9,83360,44546,1169,4.2312147097147825
484,02134,19009,26.8,37820,24946,6016,31.64816665789889
485,02135,36932,29.2,48687,31475,8123,21.994476334885736
486,02136,29271,36.2,58890,27408,3008,10.2763827679273
487,02138,35554,29,75446,52592,3234,9.096022951004107
488,02139,36015,30.3,71745,42235,5063,14.058031375815633
489,02140,18164,35.3,71908,50856,2283,12.568817441092271
